,Unnamed: 0,Name,Country,swim,bike,run,finish,Agegroup,Gender,Year,Avg Temp,Hi Temp,Humidity,Wind Speed,Wind Direction,West,South,Female
37,37,"Hecht, Mathias",CHE,51.7,276.91700000000003,181.2,514.033,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
38,38,"Helin, Loic",BEL,59.067,309.017,180.5,554.4830000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
39,39,"Hurd, Justin",USA,67.8,295.95,184.333,552.9,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
40,40,"Jacobs, Pete",AUS,48.717,311.117,230.65,596.033,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
41,41,"Juhanson, Ain-Alar",EST,59.167,266.233,196.45,526.717,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
42,42,"Kawahara, Hayato",JPN,56.217,309.817,170.767,541.1,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
43,43,"Keat, Rebekah",AUS,56.317,326.65,208.45,596.0169999999999,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
44,44,"Kehr, Gina",USA,54.75,321.767,194.583,577.1,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
45,45,"Keller, Fernanda",BRA,63.35,344.61699999999996,228.333,643.2669999999999,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
46,46,"Krebs, Meike",DEU,59.117,335.31699999999995,211.267,611.883,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
47,47,"Kujala, Wenke",DEU,63.383,343.0,223.88299999999998,635.15,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
48,48,"Larsen, Steve",USA,59.083,276.383,218.6,559.4169999999999,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
49,49,"Lawn, Joanna",NZL,59.0,316.733,205.167,585.55,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
50,50,"Lebrun, Nicolas",FRA,59.117,299.933,192.767,556.85,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
51,51,"Liebetrau, Steffen",DEU,54.65,284.91700000000003,194.667,539.0830000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
52,52,"Lieto, Chris",USA,51.8,271.8,209.667,537.933,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
53,53,"Lieto, Matt",USA,54.917,292.317,195.817,549.1,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
54,54,"Llanos, Eneko",ESP,51.65,273.433,171.8,500.833,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
55,55,"Longr, Maximilian",DEU,60.65,295.8,168.217,529.0169999999999,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
56,56,"Louison, Alexandra",FRA,77.867,338.917,198.717,620.967,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
57,57,"Lovato, Michael",USA,52.967,285.33299999999997,172.183,514.783,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
58,58,"Major, Jozsef",HUN,63.483000000000004,301.267,178.583,548.2,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
59,59,"Major, Kate",AUS,58.75,321.45,228.983,613.433,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
