Year,Avg Temp,Hi Temp,Humidity,Wind Speed,Wind Direction
2008,80.647,84,56.647,8.118,WSW
2009,83.556,87,63,8.389,WSW
2010,76.167,83,68.944,7.444,SW
2011,81.333,85,63.444,7.167,SW
2012,82.222,86,57.667,9.222,SW
2013,81.263,84,72.737,8.158,S
2014,82.5,86,62.389,8.5,SSW
2015,85.167,89,65.444,8.111,S
2016,83.238,88,65.429,8.429,S
2017,82.611,87,68.222,8,SSW
2018,79.913,83,79,5.957,W
