"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2010-10-09",,,,,,,,,,,,,,,"68",",,U","80","H,,U","57","H,,U",,,,,,,,,,,,,,,,
"USC00513911","KE AHOLE PT. 68.13, HI US","19.7281","-156.0588","6.1","2010-10-09",,,,,,,,,,,"0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,,,,,,,
"USC00515330","LANIHAU 68.2, HI US","19.6633","-155.9604","466.3","2010-10-09",,,,,,,,,"0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,,,,,,,
"US1HIHI0006","KALAOA 1.7 E, HI US","19.7238","-155.9926","304.5","2010-10-09",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"USC00514765","KONA VILLAGE 93.8, HI US","19.8187","-155.9891","21.3","2010-10-09",,,,,,,,,"0.00",",,0,0800","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,,,,,,,
"USC00511880","HONOKOHAU HARBOR 68.14, HI US","19.6787","-156.0214","9.1","2010-10-09",,,,,,,,,"0.00",",,0","0.0","P,,0","0.0","P,,0",,,,,,,,,,,,,,,,,,,,,,
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2010-10-09","6.71",",,W",,,,," 1120",",,W","0.00",",,W",,,,,,,"84",",,W","71",",,W",,,"  250",",,W","  200",",,W","12.1",",,W","15.0",",,W",,,,,,
