"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2011-10-08",,,,,,,,,,,,,,,"69",",,U","81","H,,U","60","H,,U",,,,,,,,,,,,,,,,
"USC00515330","LANIHAU 68.2, HI US","19.6633","-155.9604","466.3","2011-10-08",,,,,,,,,"0.03",",,K,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1HIHI0006","KALAOA 1.7 E, HI US","19.7238","-155.9926","304.5","2011-10-08",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00514765","KONA VILLAGE 93.8, HI US","19.8187","-155.9891","21.3","2011-10-08",,,,,,,,,"0.00",",,K,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00511880","HONOKOHAU HARBOR 68.14, HI US","19.6787","-156.0214","9.1","2011-10-08",,,,,,,,,"0.00",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2011-10-08","6.93",",,W",,,,,,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"86",",,W","75",",,W",,,"  240",",,W","  260",",,W","12.1",",,W","14.1",",,W",,,,,,
