"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2017-10-14",,,,,,,,,,,,,"72",",,U","80","H,,U","66","H,,U",,,,,,,,,,,,,,
"US1HIHI0006","KALAOA 1.7 E, HI US","19.7238","-155.9926","304.5","2017-10-14",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,
"USC00511880","HONOKOHAU HARBOR 68.14, HI US","19.6787","-156.0214","9.1","2017-10-14",,,,,,,,,"0.25",",,7",,,,,,,,,,,,,,,,,,,,,,
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2017-10-14","6.93",",,W",,,,,,,"0.00",",,W","0.0",",,W",,,"87",",,W","75",",,W","  210",",,W","  200",",,W","14.1",",,W","19.0",",,W",,,,,,
