"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2014-10-11",,,,,,,,,,,,,,,"71",",,U","80","H,,U","64","H,,U",,,,,,,,,,,,,,
"US1HIHI0038","KALAOA 2.2 ESE, HI US","19.7189","-155.9859","398.4","2014-10-11",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1HIHI0006","KALAOA 1.7 E, HI US","19.7238","-155.9926","304.5","2014-10-11",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"USC00514765","KONA VILLAGE 93.8, HI US","19.8187","-155.9891","21.3","2014-10-11",,,,,,,,,"0.00",",D,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00511880","HONOKOHAU HARBOR 68.14, HI US","19.6787","-156.0214","9.1","2014-10-11",,,,,,,,,"0.00",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2014-10-11","7.83",",,W",,,,,,,"0.00","T,,W","0.0",",,W","0.0",",,W",,,"88",",,W","75",",,W","   50",",,W","   60",",,W","21.0",",,W","25.9",",,W",,,,,,
